3034,65,137
3036,141,137
3037,220,137
3906,393,137
3042,574,137
3043,651,137
3046,725,137
3047,803,137
3048,878,137
3051,980,137
3054,1067,137
3053,1154,137
3106,1529,137
3107,1605,137
3108,1697,137
3109,1777,137
3133,1883,137
3904,1973,137
3111,2067,163
3807,1998,24
3804,1200,24
3806,440,24
3027,119,630
3026,194,630
3024,270,630
3023,346,630
3022,383,630
3017,574,630
3016,650,630
3013,726,630
3011,802,630
3009,879,630
3007,954,630
3004,1030,630
3003,1106,630
3002,1143,630
3033,130,218
3032,130,303
3031,130,465
3029,130,550
3038,268,192
3039,346,192
3020,444,434
3019,444,482
3041,538,192
3044,690,192
3018,537,577
3014,692,577
3008,944,577
3012,765,577
3049,918,192
3052,1006,192
3006,994,577
3001,1101,577
3801,1466,241
3802,1466,326
3901,1483,395
3902,1483,458
3803,1483,575
3903,1572,193
