3034,65,137,u
3036,141,137,u
3037,220,137,u
3906,393,137,u
3042,574,137,u
3043,651,137,u
3046,725,137,u
3047,803,137,u
3048,878,137,u
3051,980,137,u
3054,1067,137,u
3053,1154,137,u
3106,1529,137,u
3107,1605,137,u
3108,1697,137,u
3109,1777,137,u
3133,1883,137,u
3904,1973,137,u
3111,2067,163,r
3807,1998,24,l
3804,1200,24,l
3806,440,24,l
3027,119,630,d
3026,194,630,d
3024,270,630,d
3023,346,630,d
3022,383,630,d
3017,574,630,d
3016,650,630,d
3013,726,630,d
3011,802,630,d
3009,879,630,d
3007,954,630,d
3004,1030,630,d
3003,1106,630,d
3002,1143,630,d
3033,130,218,r
3032,130,303,r
3031,130,465,r
3029,130,550,r
3038,268,192,d
3039,346,192,d
3020,444,434,l
3019,444,482,l
3041,538,192,d
3044,690,192,d
3018,537,577,u
3014,692,577,u
3008,944,577,u
3012,765,577,u
3049,918,192,d
3052,1006,192,d
3006,994,577,u
3001,1101,577,u
3801,1466,241,r
3802,1466,326,r
3901,1483,395,u
3902,1483,458,d
3803,1483,575,u
3903,1572,193,d
